File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location,reporting_area_group
2018-01052,2018-02-19 01:28:00,2018-02-19 01:28:00,OUI,1002,West Cambridge,"0 JFK ST, Cambridge, MA",10
2024-02100,2024-03-14 12:58:00,2024-03-14 12:58:00,Drugs,501,Cambridgeport,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",5
2022-08929,2022-11-11 11:10:00,2022-11-11 11:09:00,Suspicious Package,912,Peabody,"300 GARDEN ST, Cambridge, MA",9
2011-04177,2011-06-07 19:44:00,2011-06-07 19:44:00,Drugs,701,Riverside,"700 MASSACHUSETTS AVE, Cambridge, MA",7
2013-07217,2013-09-15 21:32:00,2013-09-15 21:32:00,Simple Assault,1017,West Cambridge,"300 Mount Auburn St, Cambridge, MA",10
2019-07739,2019-10-21 13:49:00,2019-10-21 13:49:00,Trespassing,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2012-04021,2012-06-01 13:01:00,2012-06-01 13:00:00,Larceny from Person,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2022-02022,2022-03-26 13:47:00,2022-03-26 13:47:00,Warrant Arrest,501,Cambridgeport,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",5
2014-07668,2014-10-10 09:30:00,2014-10-10 09:30:00,Mal. Dest. Property,304,Inman/Harrington,"0 MARCELLA ST, Cambridge, MA",3
2020-07477,2020-10-29 08:47:00,2020-10-29 08:47:00,Admin Error,502,Cambridgeport,"100 BROOKLINE ST, Cambridge, MA",5
2017-08852,2017-12-14 16:09:00,2017-12-14 16:08:00,Shoplifting,708,Riverside,"1300 MASSACHUSETTS AVE, Cambridge, MA",7
2012-07564,2012-09-24 23:53:00,2012-09-24 23:52:00,Warrant Arrest,805,Agassiz,,8
2020-04485,2020-07-15 12:16:00,2020-07-15 12:16:00,Drinking in Public,501,Cambridgeport,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",5
2022-08898,2022-11-10 11:46:00,2022-11-10 11:46:00,Simple Assault,607,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",6
2021-02689,2021-04-24 15:10:00,2021-04-24 15:10:00,Warrant Arrest,1002,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",10
2020-01698,2020-03-09 23:47:00,2020-03-09 23:47:00,Warrant Arrest,502,Cambridgeport,"200 ALBANY ST, Cambridge, MA",5
2019-07643,2019-10-17 14:31:00,2019-10-17 14:30:00,Taxi Violation,201,MIT,"100 Broadway, Cambridge, MA",2
2012-05526,2012-07-21 15:50:00,2012-07-21 15:49:00,Kidnapping,602,Mid-Cambridge,,6
2023-03563,2023-04-27 18:25:00,2023-04-27 18:25:00,Accident,902,Peabody,"CHAUNCY ST & GARDEN ST, Cambridge, MA",9
2016-08891,2016-12-08 07:38:00,2016-12-08 07:37:00,Indecent Exposure,708,Riverside,"1400 MASSACHUSETTS AVE, Cambridge, MA",7
2014-03859,2014-06-05 00:39:00,2014-06-05 00:39:00,Hit and Run,1002,West Cambridge,"100 CHURCH ST, Cambridge, MA",10
2018-06890,2018-09-28 15:46:00,2018-09-28 15:46:00,Larceny from MV,703,Riverside,"AUBURN ST & RIVER ST, Cambridge, MA",7
2009-04384,2009-06-18 07:36:00,2009-06-18 02:30:00,Mal. Dest. Property,301,Inman/Harrington,"800 CAMBRIDGE ST, Cambridge, MA",3
2012-08923,2012-11-13 13:56:00,2012-11-13 13:55:00,Flim Flam,509,Cambridgeport,"0 ROCKINGHAM ST, Cambridge, MA",5
2015-02282,2015-04-03 16:07:00,2015-04-03 16:06:00,Hit and Run,707,Riverside,"GREEN ST & PUTNAM AVE, Cambridge, MA",7
2023-05883,2023-07-02 16:44:00,2023-07-02 16:43:00,Threats,1110,North Cambridge,"200 CAMBRIDGEPARK DR, Cambridge, MA",11
2010-01886,2010-03-20 18:08:00,2010-03-20 18:08:00,Street Robbery,1109,North Cambridge,"300 Rindge Ave, Cambridge, MA",11
2019-03171,2019-05-12 17:53:00,2019-05-12 17:53:00,Violation of H.O.,409,Area 4,"100 NORFOLK ST, Cambridge, MA",4
2012-06293,2012-08-14 13:18:00,2012-08-10 13:17:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2021-02630,2021-04-21 23:31:00,2021-04-21 23:31:00,Threats,101,East Cambridge,"0 EARHART ST, Cambridge, MA",1
2023-03476,2023-04-25 19:00:00,2023-04-25 19:00:00,Indecent Exposure,602,Mid-Cambridge,,6
2015-09748,2015-12-30 20:36:00,2015-12-30 20:36:00,Shoplifting,510,Cambridgeport,"300 River St, Cambridge, MA",5
2009-08980,2009-12-01 20:19:00,2009-11-18 14:30:00,Larceny from Building,606,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",6
2023-00272,2023-01-11 17:15:00,2023-01-11 17:14:00,Accident,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2023-04511,2023-05-24 06:58:00,2023-05-24 02:30:00,Commercial Break,1110,North Cambridge,"200 CAMBRIDGEPARK DR, Cambridge, MA",11
2014-01319,2014-02-26 18:31:00,2014-02-26 18:30:00,Shoplifting,510,Cambridgeport,"300 River St, Cambridge, MA",5
2024-03603,2024-05-02 21:53:00,2024-05-02 21:53:00,Violation of H.O.,1104,North Cambridge,"100 CHURCHILL AVE, Cambridge, MA",11
2023-10287,2023-11-09 14:25:00,2023-11-09 14:24:00,Harassment,404,Area 4,"200 BROADWAY, Cambridge, MA",4
2020-03134,2020-05-23 00:17:00,2020-05-22 01:00:00,Threats,501,Cambridgeport,"600 Massachusetts Ave, Cambridge, MA",5
2014-09780,2014-12-24 10:23:00,2014-12-24 10:23:00,Disorderly,609,Mid-Cambridge,"300 BROADWAY, Cambridge, MA",6
2012-06793,2012-08-30 09:42:00,2012-08-30 09:42:00,Warrant Arrest,305,Inman/Harrington,"300 PROSPECT ST, Cambridge, MA",3
2022-06163,2022-08-15 17:10:00,2022-08-15 17:09:00,Admin Error,510,Cambridgeport,"ALLSTON ST & PUTNAM AVE, Cambridge, MA",5
2019-04178,2019-06-17 22:58:00,2019-06-17 22:57:00,Drugs,501,Cambridgeport,"400 MASSACHUSETTS AVE, Cambridge, MA",5
2012-03191,2012-05-02 15:40:00,2012-05-02 15:39:00,Larceny from MV,903,Peabody,"1700 MASSACHUSETTS AVE, Cambridge, MA",9
2012-05971,2012-08-04 01:53:00,2012-08-04 01:53:00,Simple Assault,408,Area 4,"200 MASSACHUSETTS AVE, Cambridge, MA",4
2013-02151,2013-03-29 09:37:00,2013-03-29 09:36:00,Admin Error,406,Area 4,"200 HAMPSHIRE ST, Cambridge, MA",4
2019-04968,2019-07-17 04:43:00,2019-07-17 04:43:00,Larceny of Bicycle,601,Mid-Cambridge,"INMAN ST & MASSACHUSETTS AVE, Cambridge, MA",6
2016-08801,2016-12-04 23:03:00,2016-12-04 23:02:00,Warrant Arrest,411,Area 4,"100 BISHOP ALLEN DR, Cambridge, MA",4
2011-07459,2011-09-24 17:04:00,2011-09-24 17:03:00,Drugs,708,Riverside,"0 PLYMPTON ST, Cambridge, MA",7
2014-06292,2014-08-26 14:54:00,2014-08-26 14:54:00,Rec. Stol. Property,903,Peabody,"1700 Massachusetts Ave, Cambridge, MA",9
2013-08285,2013-10-18 18:15:00,2013-10-18 18:14:00,Shoplifting,708,Riverside,"100 JFK ST, Cambridge, MA",7
2020-05812,2020-09-02 17:42:00,2020-09-02 17:42:00,Simple Assault,406,Area 4,,4
2012-05383,2012-07-17 18:36:00,2012-07-17 18:35:00,Warrant Arrest,802,Agassiz,"EVERETT ST & MASSACHUSETTS AVE, Cambridge, MA",8
2012-02169,2012-03-24 16:09:00,2012-03-24 16:08:00,Auto Theft,510,Cambridgeport,"0 FAIRMONT AVE, Cambridge, MA",5
2010-00903,2010-02-08 16:29:00,2010-01-31 17:10:00,Embezzlement,1106,North Cambridge,"2300 Massachusetts Ave, Cambridge, MA",11
2017-05114,2017-07-25 20:42:00,2017-07-25 20:41:00,Accident,1004,West Cambridge,"BRATTLE ST & MASON ST, Cambridge, MA",10
2014-06237,2014-08-25 04:25:00,2014-08-25 04:24:00,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2014-04530,2014-06-27 23:48:00,2014-06-27 23:48:00,Admin Error,601,Mid-Cambridge,"Massachusetts Ave & Central Sq, Cambridge, MA",6
2015-09340,2015-12-13 18:25:00,2015-12-13 18:25:00,Street Robbery,501,Cambridgeport,"MAGAZINE ST & MASSACHUSETTS AVE, Cambridge, MA",5
2018-09126,2018-12-23 09:36:00,2018-12-23 09:36:00,Larceny from Residence,304,Inman/Harrington,"0 PALERMO ST, Cambridge, MA",3
2016-04935,2016-07-10 12:35:00,2016-07-10 12:34:00,Housebreak,104,East Cambridge,"0 FIFTH ST, Cambridge, MA",1
2013-01961,2013-03-22 15:09:00,2013-03-22 15:09:00,Admin Error,305,Inman/Harrington,"400 COLUMBIA ST, Cambridge, MA",3
2013-03238,2013-05-09 00:28:00,2013-05-09 00:27:00,Admin Error,1017,West Cambridge,"400 Mount Auburn St, Cambridge, MA",10
2009-00631,2009-01-24 21:25:00,2009-01-24 21:25:00,Hit and Run,305,Inman/Harrington,"HAMPSHIRE ST & INMAN ST, Cambridge, MA",3
2010-01108,2010-02-16 12:49:00,2010-02-16 12:49:00,Mal. Dest. Property,602,Mid-Cambridge,"1000 Massachusetts Ave, Cambridge, MA",6
2017-08702,2017-12-08 16:02:00,2017-12-05 07:00:00,Forgery,702,Riverside,"700 GREEN ST, Cambridge, MA",7
2016-03871,2016-06-03 15:54:00,2016-06-03 15:53:00,Warrant Arrest,502,Cambridgeport,"100 Auburn Park, Cambridge, MA",5
2022-07652,2022-10-02 15:11:00,2022-10-02 15:00:00,Larceny from Building,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2016-03117,2016-05-08 10:01:00,2016-05-08 10:00:00,Suspicious Package,203,MIT,"MAIN ST & VASSAR ST, Cambridge, MA",2
2019-05236,2019-07-25 16:19:00,2019-07-25 16:18:00,Drugs,910,Peabody,"0 Walden Square Rd, Cambridge, MA",9
2016-08984,2016-12-11 13:59:00,2016-12-11 13:59:00,Suspicious Package,908,Peabody,"GARDEN ST & HURON AVE, Cambridge, MA",9
2019-00621,2019-01-28 18:17:00,2019-01-28 18:17:00,Liquor Possession/Sale,1110,North Cambridge,,11
2014-03576,2014-05-26 14:24:00,2014-05-26 14:23:00,Forgery,910,Peabody,,9
2019-01712,2019-03-15 14:19:00,2019-03-15 14:18:00,Accident,411,Area 4,"500 MASSACHUSETTS AVE, Cambridge, MA",4
2019-03771,2019-06-04 21:04:00,2019-06-04 21:03:00,Shoplifting,411,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",4
2014-08612,2014-11-11 16:51:00,2014-11-11 16:51:00,Accident,1301,Strawberry Hill,"600 Mount Auburn St, Cambridge, MA",13
2015-04860,2015-07-04 15:40:00,2015-07-04 15:39:00,Suspicious Package,705,Riverside,"GREEN ST & PLEASANT ST, Cambridge, MA",7
2014-06756,2014-09-09 18:14:00,2014-09-09 18:13:00,Hit and Run,409,Area 4,"COLUMBIA ST & SUFFOLK ST, Cambridge, MA",4
2021-02264,2021-04-07 12:19:00,2021-04-07 12:18:00,Aggravated Assault,601,Mid-Cambridge,"800 MASSACHUSETTS AVE, Cambridge, MA",6
2018-06447,2018-09-12 13:25:00,2018-09-12 13:15:00,Threats,706,Riverside,"0 PUTNAM GDNS, Cambridge, MA",7
2010-09462,2010-12-06 15:26:00,2010-12-06 15:26:00,Shoplifting,1002,West Cambridge,"0 JFK ST, Cambridge, MA",10
2021-01269,2021-02-25 14:38:00,2021-02-25 14:37:00,Mal. Dest. Property,305,Inman/Harrington,"1200 CAMBRIDGE ST, Cambridge, MA",3
2014-09360,2014-12-09 14:47:00,2014-12-09 14:30:00,Larceny from Building,701,Riverside,"800 MASSACHUSETTS AVE, Cambridge, MA",7
2011-01029,2011-02-11 23:20:00,2011-02-11 23:20:00,Rec. Stol. Property,1012,West Cambridge,"500 CONCORD AVE, Cambridge, MA",10
2022-04590,2022-06-26 19:44:00,2022-06-26 19:44:00,Threats,912,Peabody,"500 CONCORD AVE, Cambridge, MA",9
2014-05347,2014-07-27 14:25:00,2014-07-27 14:25:00,Drinking in Public,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2023-05321,2023-06-16 02:41:00,2023-06-16 02:40:00,Missing Person,1104,North Cambridge,"100 MURRAY HILL RD, Cambridge, MA",11
2020-04196,2020-07-03 19:28:00,2020-07-03 19:28:00,Admin Error,604,Mid-Cambridge,"200 PROSPECT ST, Cambridge, MA",6
2021-02074,2021-03-30 12:24:00,2021-03-30 12:23:00,Suspicious Package,506,Cambridgeport,"100 PEARL ST, Cambridge, MA",5
2012-04391,2012-06-14 02:20:00,2012-06-14 02:20:00,Commercial Break,1103,North Cambridge,"2500 MASSACHUSETTS AVE, Cambridge, MA",11
2020-05302,2020-08-16 13:59:00,2020-08-16 13:30:00,Shoplifting,1301,Strawberry Hill,"700 Mount Auburn St, Cambridge, MA",13
2018-01006,2018-02-16 13:04:00,2018-02-16 13:03:00,Weapon Violations,105,East Cambridge,"200 Bent St, Cambridge, MA",1
2013-06081,2013-08-09 12:06:00,2013-07-22 14:18:00,Forgery,607,Mid-Cambridge,"300 HARVARD ST, Cambridge, MA",6
2021-01307,2021-02-26 16:44:00,2021-02-26 16:43:00,Phone Calls,411,Area 4,"100 BISHOP ALLEN DR, Cambridge, MA",4
2018-05844,2018-08-20 19:11:00,2018-08-20 19:11:00,Warrant Arrest,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2017-07547,2017-10-21 20:14:00,2017-10-21 20:14:00,Missing Person,1014,West Cambridge,"200 LARCH RD, Cambridge, MA",10
2011-03872,2011-05-29 02:21:00,2011-05-29 02:20:00,Admin Error,1002,West Cambridge,"100 WINTHROP ST, Cambridge, MA",10
2022-06413,2022-08-24 07:20:00,2022-08-24 07:20:00,Threats,609,Mid-Cambridge,"0 ST PAUL ST, Cambridge, MA",6
2020-08197,2020-11-18 16:19:00,2020-11-18 16:19:00,Forgery,609,Mid-Cambridge,"0 INMAN ST, Cambridge, MA",6
2024-02796,2024-04-07 13:27:00,2024-04-07 13:27:00,Indecent Exposure,102,East Cambridge,"0 Canal Park, Cambridge, MA",1
2022-00107,2022-01-06 11:05:00,2022-01-06 11:04:00,Accident,603,Mid-Cambridge,"BROADWAY & MERRILL ST, Cambridge, MA",6
2014-06342,2014-08-27 20:20:00,2014-08-27 20:19:00,Hit and Run,104,East Cambridge,"100 GORE ST, Cambridge, MA",1
2023-02985,2023-04-12 16:44:00,2023-04-12 16:43:00,Threats,503,Cambridgeport,"200 SIDNEY ST, Cambridge, MA",5
2024-00248,2024-01-10 10:17:00,2024-01-10 10:17:00,Shoplifting,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2013-02494,2013-04-11 04:37:00,2013-04-11 04:37:00,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2010-07950,2010-10-11 06:00:00,2010-10-11 06:00:00,Warrant Arrest,404,Area 4,"300 BROADWAY, Cambridge, MA",4
2014-04597,2014-06-30 16:18:00,2014-06-30 16:00:00,Stalking,603,Mid-Cambridge,"200 HANCOCK ST, Cambridge, MA",6
2018-03409,2018-05-24 13:38:00,2018-05-24 12:50:00,Hit and Run,403,Area 4,"100 WASHINGTON ST, Cambridge, MA",4
2010-06262,2010-08-17 11:15:00,2010-08-17 11:15:00,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2010-04617,2010-06-24 16:16:00,2010-06-24 15:00:00,Larceny from Person,104,East Cambridge,"GORE ST & RUFO RD, Cambridge, MA",1
2018-02950,2018-05-08 06:48:00,2018-05-07 18:00:00,Larceny from MV,909,Peabody,"0 AVON HILL ST, Cambridge, MA",9
2013-07015,2013-06-06 17:38:00,2013-06-06 17:37:00,Larceny of Services,708,Riverside,"1200 MASSACHUSETTS AVE, Cambridge, MA",7
2022-10287,2022-12-27 14:04:00,2022-12-27 14:03:00,Hit and Run,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2022-04583,2022-06-26 16:10:00,2022-06-26 16:09:00,Hit and Run,707,Riverside,"HOLYOKE PL & Mount Auburn St, Cambridge, MA",7
2015-04259,2015-06-16 11:45:00,2015-06-16 11:44:00,Counterfeiting,610,Mid-Cambridge,"300 BROADWAY, Cambridge, MA",6
2018-02847,2018-05-04 14:30:00,2018-05-04 14:29:00,Simple Assault,402,Area 4,"0 MARKET ST, Cambridge, MA",4
2015-01427,2015-02-28 14:49:00,2015-02-28 14:48:00,Housebreak,604,Mid-Cambridge,"100 HIGHLAND AVE, Cambridge, MA",6
2020-03272,2020-05-29 08:18:00,2020-05-29 08:18:00,Aggravated Assault,501,Cambridgeport,"400 MASSACHUSETTS AVE, Cambridge, MA",5
2009-07158,2009-09-25 02:16:00,2009-09-25 02:16:00,Warrant Arrest,301,Inman/Harrington,"Cambridge St & Hunting St, Cambridge, MA",3
2021-01577,2021-03-09 22:31:00,2021-03-09 22:30:00,Aggravated Assault,606,Mid-Cambridge,"CAMBRIDGE ST & ELLERY ST, Cambridge, MA",6
2015-09252,2015-12-10 10:39:00,2015-12-09 21:20:00,Mal. Dest. Property,201,MIT,,2
2017-08336,2017-11-24 10:21:00,2017-11-22 20:20:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2013-02281,2013-04-03 12:10:00,2013-04-03 12:10:00,Shoplifting,102,East Cambridge,"100 Cambridgeside Pl, Cambridge, MA",1
2023-09094,2023-10-06 00:04:00,2023-10-06 00:04:00,Flim Flam,101,East Cambridge,"0 EDUCATION ST, Cambridge, MA",1
2024-03204,2024-04-20 19:27:00,2024-04-20 19:27:00,Warrant Arrest,304,Inman/Harrington,"100 BERKSHIRE ST, Cambridge, MA",3
2016-03495,2016-05-22 11:35:00,2016-05-22 11:34:00,Rec. Stol. Property,1002,West Cambridge,"100 JFK ST, Cambridge, MA",10
2018-07198,2018-10-09 20:01:00,2018-10-09 20:01:00,Shoplifting,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2020-04870,2020-07-31 07:36:00,2020-07-31 07:35:00,Stalking,707,Riverside,,7
2019-08502,2019-11-20 14:44:00,2019-11-20 14:44:00,Drugs,304,Inman/Harrington,"1000 CAMBRIDGE ST, Cambridge, MA",3
2016-02417,2016-04-12 17:13:00,2016-04-12 17:12:00,Housebreak,305,Inman/Harrington,"300 COLUMBIA ST, Cambridge, MA",3
2015-00257,2015-01-12 18:51:00,2015-01-12 18:50:00,Suspicious Package,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2009-08969,2009-12-01 14:59:00,2009-12-01 14:59:00,Shoplifting,1201,Highlands,"200 ALEWIFE BROOK PKY, Cambridge, MA",12
2016-04288,2016-06-17 22:51:00,2016-06-17 22:51:00,Hit and Run,302,Inman/Harrington,"1000 CAMBRIDGE ST, Cambridge, MA",3
2014-06842,2014-09-12 16:24:00,2014-09-12 16:24:00,Accident,502,Cambridgeport,"200 MASSACHUSETTS AVE, Cambridge, MA",5
2009-09547,2009-12-26 00:11:00,2009-12-26 00:11:00,Hit and Run,610,Mid-Cambridge,"PROSPECT ST & HAMPSHIRE ST, Cambridge, MA",6
2020-03494,2020-06-06 15:16:00,2020-06-06 15:15:00,Forgery,508,Cambridgeport,"100 MAGAZINE ST, Cambridge, MA",5
2020-04744,2020-07-25 15:13:00,2020-07-25 15:12:00,Mal. Dest. Property,1105,North Cambridge,"0 Porter Park, Cambridge, MA",11
2022-07971,2022-10-13 17:20:00,2022-10-13 17:20:00,Warrant Arrest,508,Cambridgeport,"300 PEARL ST, Cambridge, MA",5
2011-02665,2011-04-17 00:13:00,2011-04-17 00:13:00,OUI,504,Cambridgeport,"LANDSDOWNE ST & MASSACHUSETTS AVE, Cambridge, MA",5
2023-00473,2023-01-19 15:44:00,2023-01-19 13:30:00,Larceny from Residence,603,Mid-Cambridge,"300 HARVARD ST, Cambridge, MA",6
2011-06475,2011-08-22 17:10:00,2011-08-22 17:09:00,Simple Assault,501,Cambridgeport,"BROOKLINE ST & MASSACHUSETTS AVE, Cambridge, MA",5
2017-08502,2017-11-30 15:05:00,2017-11-30 15:05:00,Hit and Run,1011,West Cambridge,"BRATTLE ST & FAYERWEATHER ST, Cambridge, MA",10
2017-03275,2017-05-18 17:22:00,2017-05-18 17:22:00,Larceny of Services,504,Cambridgeport,,5
2015-02601,2015-04-15 08:51:00,2015-04-14 08:30:00,Commercial Break,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2012-03430,2012-05-11 11:28:00,2012-05-10 19:30:00,Commercial Break,607,Mid-Cambridge,"1200 Massachusetts Ave, Cambridge, MA",6
2020-07400,2020-10-26 18:42:00,2020-10-26 18:00:00,Forgery,706,Riverside,"100 PUTNAM AVE, Cambridge, MA",7
2019-07841,2019-10-25 03:17:00,2019-10-25 03:17:00,Warrant Arrest,613,Mid-Cambridge,"1500 CAMBRIDGE ST, Cambridge, MA",6
2023-02549,2023-03-28 19:08:00,2023-03-28 19:07:00,Larceny from Residence,604,Mid-Cambridge,"1500 CAMBRIDGE ST, Cambridge, MA",6
2017-05723,2017-08-15 13:40:00,2017-08-15 13:40:00,Accident,305,Inman/Harrington,"CAMBRIDGE ST & ELM ST, Cambridge, MA",3
2024-03890,2024-05-11 15:59:00,2024-05-02 19:10:00,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2022-10075,2022-12-18 23:12:00,2022-12-18 23:11:00,Housebreak,604,Mid-Cambridge,"1500 CAMBRIDGE ST, Cambridge, MA",6
2023-06831,2023-07-30 20:49:00,2023-07-30 20:49:00,Shoplifting,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2014-04924,2014-07-12 00:02:00,2014-07-12 00:02:00,Admin Error,510,Cambridgeport,"800 MEMORIAL DR, Cambridge, MA",5
2015-00136,2015-01-06 22:00:00,2015-01-04 17:20:00,Larceny from Building,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2011-01604,2011-03-06 12:44:00,2011-03-06 12:40:00,Larceny of Bicycle,404,Area 4,"0 MARKET ST, Cambridge, MA",4
2020-01401,2020-02-26 13:56:00,2020-02-26 13:56:00,Forgery,506,Cambridgeport,"0 VALENTINE ST, Cambridge, MA",5
2019-02347,2019-04-10 17:00:00,2019-04-10 17:00:00,Admin Error,705,Riverside,"400 Green St, Cambridge, MA",7
2011-01467,2011-03-01 15:51:00,2011-03-01 15:51:00,Mal. Dest. Property,601,Mid-Cambridge,"BISHOP ALLEN DR & PROSPECT ST, Cambridge, MA",6
2015-01789,2015-03-13 18:45:00,2015-03-13 18:44:00,Threats,701,Riverside,"700 MASSACHUSETTS AVE, Cambridge, MA",7
2013-03611,2013-05-21 15:39:00,2013-05-21 15:38:00,Warrant Arrest,605,Mid-Cambridge,"1600 CAMBRIDGE ST, Cambridge, MA",6
2022-07982,2022-10-13 21:52:00,2022-10-13 21:52:00,Hit and Run,302,Inman/Harrington,"1000 CAMBRIDGE ST, Cambridge, MA",3
2020-03714,2020-06-15 16:22:00,2020-06-15 16:21:00,Warrant Arrest,405,Area 4,"Windsor St & Washington St, Cambridge, MA",4
2021-08393,2021-11-15 08:30:00,2021-11-15 08:29:00,Shoplifting,708,Riverside,"0 JFK ST, Cambridge, MA",7
2016-03695,2016-05-28 17:09:00,2016-05-28 17:09:00,Simple Assault,702,Riverside,"400 FRANKLIN ST, Cambridge, MA",7
2018-03592,2018-05-31 13:17:00,2018-05-31 13:17:00,Hit and Run,405,Area 4,"100 WINDSOR ST, Cambridge, MA",4
2022-00133,2022-01-07 13:58:00,2022-01-07 13:58:00,Accident,610,Mid-Cambridge,"HAMPSHIRE ST & PROSPECT ST, Cambridge, MA",6
2024-01681,2024-02-28 20:01:00,2024-02-28 20:00:00,Hit and Run,203,MIT,"MAIN ST & VASSAR ST, Cambridge, MA",2
2018-02582,2018-04-24 12:42:00,2018-04-24 12:41:00,Hit and Run,301,Inman/Harrington,"CAMBRIDGE ST & WARREN ST, Cambridge, MA",3
2013-01048,2013-02-13 12:22:00,2013-02-13 12:21:00,Hit and Run,902,Peabody,"1700 MASSACHUSETTS AVE, Cambridge, MA",9
2015-02590,2015-04-14 17:20:00,2015-04-14 17:20:00,Drugs,501,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",5
2015-02157,2015-03-29 15:38:00,2015-03-29 12:00:00,Larceny (Misc),411,Area 4,"DOUGLASS ST & MASSACHUSETTS AVE, Cambridge, MA",4
2016-08549,2016-11-23 18:18:00,2016-11-23 18:18:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2016-00232,2016-01-12 14:21:00,2016-01-12 14:20:00,Suspicious Package,605,Mid-Cambridge,"100 TROWBRIDGE ST, Cambridge, MA",6
2023-09393,2023-10-15 14:17:00,2023-10-15 14:17:00,Threats,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
